#
#   VizieR Astronomical Server: vizier.cfa.harvard.edu	2009-01-09T21:25:23
#   (replaces the 'Astrores' format originally described at
#    http://vizier.u-strasbg.fr/doc/astrores.htx)
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	-ref=VOTx29957	
#INFO	-out.max=50000	

#RESOURCE=yCat_6049
#Name: VI/49
#Title: Constellation Boundary Data (Davenhall+ 1989)
#INFO	status=obsolete	
#Table	VI_49_bound_20:
#Name: VI/49/bound_20
#Title: Boundaries for 2000
#Column	RAJ2000	(A13)	Right ascension in decimal hours (J2000)	[ucd=?]
#Column	DEJ2000	(F11.7)	Declination in degrees (J2000)	[ucd=?]
#Column	con	(a4)	Constellation abbreviation	[ucd=?]
#Column	type	(A1)	[OI] Type of point (Original or Interpolated)	[ucd=?]
RAJ2000	DEJ2000	con	type
"h:m:s"	deg		
-------------	-----------	----	-
23 32 08.5675	 35.1897736	AND 	I
23 28 06.5730	 35.1880264	AND 	I
23 24 04.5511	 35.1860695	AND 	I
23 20 02.5293	 35.1838989	AND 	I
23 16 00.5621	 35.1815186	AND 	I
23 11 58.5607	 35.1789322	AND 	I
23 07 56.5662	 35.1761322	AND 	I
23 03 54.6131	 35.1731300	AND 	I
22 59 52.6391	 35.1699181	AND 	I
22 57 51.6729	 35.1682358	AND 	O
22 57 50.4435	 36.1682281	AND 	I
22 57 49.1735	 37.1682205	AND 	I
22 57 47.8757	 38.1682091	AND 	I
22 57 46.5437	 39.1682014	AND 	I
22 57 45.1703	 40.1681900	AND 	I
22 57 43.7559	 41.1681786	AND 	I
22 57 42.3000	 42.1681709	AND 	I
22 57 40.7963	 43.1681557	AND 	I
22 57 39.2379	 44.1681480	AND 	I
22 57 37.6308	 45.1681366	AND 	I
22 57 35.9622	 46.1681252	AND 	I
22 57 34.2389	 47.1681137	AND 	I
22 57 32.4468	 48.1681023	AND 	I
22 57 30.5791	 49.1680870	AND 	I
22 57 28.6359	 50.1680717	AND 	I
22 57 26.6101	 51.1680603	AND 	I
22 57 24.4955	 52.1680412	AND 	I
22 57 22.2843	 53.1680298	AND 	O
23 01 25.9817	 53.1713676	AND 	I
23 05 29.7409	 53.1744957	AND 	I
23 09 33.5207	 53.1774216	AND 	I
23 13 37.2663	 53.1801338	AND 	I
23 17 41.0733	 53.1826363	AND 	I
23 21 44.8941	 53.1849251	AND 	I
23 25 48.6945	 53.1870041	AND 	O
23 25 49.9649	 52.1870117	AND 	I
23 25 51.1734	 51.1870155	AND 	I
23 25 51.7638	 50.6870193	AND 	O
23 29 55.2757	 50.6888847	AND 	I
23 33 58.7949	 50.6905365	AND 	I
23 38 02.2863	 50.6919746	AND 	I
23 41 04.9337	 50.6929131	AND 	O
23 41 05.6065	 49.6929131	AND 	I
23 41 06.2589	 48.6929169	AND 	O
23 45 09.5580	 48.6939774	AND 	I
23 49 12.8640	 48.6948280	AND 	I
23 53 16.1358	 48.6954613	AND 	I
23 57 19.4487	 48.6958809	AND 	I
00 01 22.7586	 48.6960831	AND 	I
00 05 26.0315	 48.6960716	AND 	I
00 06 26.8729	 48.6960373	AND 	I
00 06 26.8704	 48.6960373	AND 	I
00 10 30.1825	 48.6957550	AND 	I
00 14 33.4561	 48.6952629	AND 	I
00 16 35.1282	 48.6949348	AND 	O
00 16 34.7505	 47.6949348	AND 	I
00 16 34.3869	 46.6949348	AND 	O
00 20 37.4316	 46.6941185	AND 	I
00 24 40.5083	 46.6930885	AND 	I
00 28 43.5795	 46.6918449	AND 	I
00 32 46.6083	 46.6903877	AND 	I
00 36 49.6663	 46.6887169	AND 	I
00 40 52.7163	 46.6868362	AND 	I
